date,speech_id,sppid,speaker,party,targetparty,outbloc,text,spitch,textsent,topic,emotionality,speech_procedure_ID,vote_scale_all,vote_binary_all,speakerbloc,targetbloc,dyad,rr_in,rr_out,rr_target,period,f0_avg,f0_mod,loudness_avg,partycolor,partyterm
2015-07-03,20142-2-2,Peter Juel-Jensen_V,Peter Juel-Jensen,V,,,"Tak, formand. Som formand for Udvalget til Prøvelse af Valgene kan jeg oplyse følgende om udvalgets arbejde: Arbejdet har sædvanligvis vedrørt tre spørgsmål: For det første har det vedrørt spørgsmålet om gyldighed af valghandlingen, herunder valgets forberedelse, stemmeafgivelsen, optællingen af selve stemmesedlerne, vurderingen af dem samt valgbøgerne og disses førelse m.m., herunder har udvalget taget stilling til en række klager over valget. For det andet har arbejdet vedrørt spørgsmålet om godkendelse af Social- og Indenrigsministeriets opgørelser og beregninger. For det tredje har det vedrørt spørgsmålet om godkendelse af de kandidater, der har opnået valg. Om gyldigheden af valghandlingen kan jeg sige, at vi udover Social- og Indenrigsministeriets redegørelse har gennemgået 32 valgklager og udtalt os om hver enkelt klage. Der er også nogle forskellige forhold vedrørende valghandlingen, der har givet vanskeligheder flere steder. Der har bl.a. været en del fejl i stemmesedler, også visse alvorlige fejl, og det har ført til en drøftelse i udvalget om, hvad man kan gøre for at sikre, at de kommunale valgmyndigheder i højere grad overholder de krav, der gælder for udformningen af stemmesedler. Vi har udtalt os kritisk om fejlene og opfordret til større opmærksomhed om de problemer fra valgmyndighedernes side, bl.a. større fokus på korrekturlæsning. Vi kan også se, at der har været en del klager over åbningstider, vejledningen af borgere osv. i forbindelse med afgivelse af brevstemmer. Jeg kan henvise til gennemgangen i betænkningen og indstillingen. Vedrørende spørgsmål om godkendelse af Social- og Indenrigsministeriets opgørelser og beregninger har udvalget behandlet godkendelsen af disse. De samlede opgørelser og beregninger har ikke givet anledning til bemærkninger fra udvalgets side. Hvad angår spørgsmål om godkendelse af de valgte, er udvalget ikke bekendt med forhold, som kunne tænkes at føre til, at nogle af de valgte ikke er valgbare. Udvalget har herefter følgende indstillinger: Vedrørende valget i Danmark indstiller udvalget i enighed, at Folketinget godkender det af den 18. juni 2015 afholdte valg af medlemmer til Folketinget, de af Social- og Indenrigsministeriet den 30. juni 2015 fremsendte beregninger og opgørelser vedrørende dette valg og de på den omdelte, særskilte valgkredsfortegnelse opførte 175 kandidater som valgte fra og med den 18. juni 2015. Vedrørende valget i Grønland indstiller et enigt udvalg, at Folketinget i henhold til forretningsordenens § 1, stk. 6, godkender dette valg på grundlag af den af Rigsombudsmanden i Grønland fremsendte foreløbige opgørelse om folketingsvalget i Grønland den 18. juni 2015 og godkender de 2 kandidater som valgte fra og med den 18. juni 2015. Vedrørende valget på Færøerne indstiller et enigt udvalg, at Folketinget godkender det på Færøerne den 18. juni 2015 afholdte valg af de to medlemmer til Folketinget, den af valgbestyrelsen foretagne opgørelse og beregninger vedrørende dette valg og de 2 kandidater som valgte fra og med den 18. juni 2015. Jeg skal på udvalgets vegne over for Tinget anbefale udvalgets indstillinger.",1.0639040202508394,0.29029733959311443,Topic18,0.7881790694606536,,,,Right,,,0.0,0.0,,20142,157.2243856791564,29.674857636889378,64.6068407326539,blue,blue-20142.0
2015-07-03,20142-3-10,Johanne Schmidt-Nielsen_EL,Johanne Schmidt-Nielsen,EL,DF,1.0,"Jeg har det bare sådan, at hvis det primære argument for at lave en lavere ydelse er, at der så vil komme færre flygtninge til Danmark, så bør man også lige undersøge, hvad der skete, sidste gang man gjorde det. Og ordføreren har ikke ret. Sidste gang man indførte starthjælpen, fik det ikke den effekt, at der kom færre flygtninge til Danmark. Antallet af asylansøgere faldt og steg i takt med udviklingen i resten af Europa. Der var faktisk et enkelt år, mens starthjælpen var indført, hvor antallet i Europa faldt, samtidig med det steg i Danmark. Så det vil sige, at der ikke er nogen dokumenteret effekt af det, Dansk Folkeparti nu har tænkt sig at indføre. Så jeg spørger igen: Hvorfor bliver ordføreren og Dansk Folkeparti ved med at sige, at det her vil have en effekt, når vi nu har fået dokumenteret, at det ingen effekt har – ud over fattigdom blandt nogle i forvejen udsatte mennesker?",0.6355887588924068,0.029083124477861117,Topic33,1.0867051797491878,L2_2014_15_01,0.0,1.0,Left,Right,EL->DF,0.0,1.0,1.0,20142,238.74502163630387,52.117959444816044,65.85709563057515,red,red-20142.0
2015-07-03,20142-3-100,Jacob Mark_SF,Jacob Mark,SF,LA,1.0,"I valgkampen var jeg i en del paneldebatter med folk fra Liberal Alliance, der gentagne gange sagde, at efter folketingsvalget skulle der skæres ned på bureaukratiet i den offentlige sektor og især ude i kommunerne. Nu læser jeg så det her forslag og vil prøve at anlægge en vinkel, der handler om sprogbonussen, som jeg mener skaber mere bureaukrati i den offentlige sektor. Det fungerer sådan, at ansøgeren selv skal ansøge kommunen om tillæg og fremlægge dokumentation for, at de har bestået den her danskprøve 2. Kan de ikke det, skal de fremsende en tro og love-erklæring og al mulig dokumentation, som kommunalt ansatte skal sidde og behandle. Mit spørgsmål til ordføreren er: Vil den her lov medføre mere eller mindre bureaukrati i den offentlige sektor ude i kommunerne?",0.26541493852108405,0.3288194444444448,Topic19,0.8724792412608535,L2_2014_15_01,1.0,0.0,Left,Right,SF->LA,0.0,0.0,0.0,20142,135.14436114613528,24.15273628064245,64.49398464782566,red,red-20142.0
2015-07-03,20142-3-102,Merete Riisager_LA,Merete Riisager,LA,LA,0.0,"Det synes jeg er meget svært at vurdere. Jeg synes ikke, det ser ud til at være nogen særlig bureaukratisk manøvre, at man ved at bestå et sprogkursus kan få en lidt højere ydelse. Det må jeg indrømme. Jeg tror godt nok, de har større ting at slås med ude i kommunerne, og dem kommer vi til at kaste os over med stor ildhu i Liberal Alliance.",-2.1420530582150654,0.2976608187134508,Topic7,1.047161163214061,L2_2014_15_01,1.0,0.0,Right,Right,LA->LA,0.0,0.0,0.0,20142,171.70913669843614,30.761763771834868,63.198750370704325,blue,blue-20142.0
2015-07-03,20142-3-104,Jacob Mark_SF,Jacob Mark,SF,LA,1.0,"Det kan godt være. Jeg kan godt bekræfte, at der er større ting at kæmpe med ude i kommunerne. Men der står også i lovforslaget, at det skønnes at medføre administrative merudgifter for kommunerne. Og ikke nok med, at det helt sikkert blive besværligt for dem, der ikke kan sproget, de skal også søge om dispensation på et sprog, jeg nærmest ikke kan forstå. Så jeg vil høre: Når der nu står, at det vil medføre administrative merudgifter i kommunerne, betyder det så mere eller mindre bureaukrati i den offentlige sektor, og er det i tråd med Liberal Alliances løfter fra valgkampen?",0.5340472871851303,0.2824074074074075,Topic30,0.8739825672103305,L2_2014_15_01,1.0,0.0,Left,Right,SF->LA,0.0,0.0,0.0,20142,137.77657069185355,24.5774816511665,65.66263242289968,red,red-20142.0
2015-07-03,20142-3-106,Merete Riisager_LA,Merete Riisager,LA,,,"Nu er der jo et betragteligt provenu forbundet med det her lovforslag, så samlet set vil der blive brugt færre skattekroner som følge af det. Det synes vi sådan set er rimeligt, og vi mener, at den ydelse og den proces, der er lagt frem, både er fornuftig og rimelig.",-2.011075172015572,0.46666666666666623,Topic33,0.8106351291009168,,,,Right,,,0.0,0.0,,20142,174.30540431472303,35.38754228335413,63.48216501048192,blue,blue-20142.0
2015-07-03,20142-3-108,Pelle Dragsted_EL,Pelle Dragsted,EL,RV,0.0,"Tak. Jeg vil tage fat, hvor fru Zenia Stampe slap. Ordføreren får det til at lyde, som om mennesker, der har været ude af landet, er sådan nogle velstående studerende, som har rejst jorden rundt. Jeg ved ikke, om det er gået ordførerens næse forbi, at vi har været igennem en krise, hvor mange danskere har været tvunget ud af landet, fordi der ikke var arbejdspladser nok i Danmark og de blev nødt til at tage arbejde andre steder. Vi snakker om mennesker, som kan have arbejdet og betalt deres skat til fællesskabet i 20, 25, 30 år. Mener ordføreren, det er rimeligt, at de, fordi de har været tvunget til at tage arbejde i udlandet og så bliver ramt af arbejdsløshed, når de vender hjem, fordi der jo stadig væk i Danmark er flere arbejdsløse end arbejdspladser, så skal have en lavere ydelse end andre kollegaer, der er blevet ramt af ledighed, men som har været så heldige ikke at blive tvunget ud af landet for at få et arbejde?",1.2008816909792397,-0.017953929539295543,Topic47,1.1161741593201728,L2_2014_15_01,0.0,1.0,Left,Left,EL->RV,0.0,0.0,0.0,20142,174.2628004394878,32.97052977096893,66.32470522100276,red,red-20142.0
2015-07-03,20142-3-110,Merete Riisager_LA,Merete Riisager,LA,,,"Nu var det jo faktisk de studerende, som fru Zenia Stampe spurgte til, og derfor var det så det, jeg svarede på. Men jeg tror faktisk, det er et ganske udmærket beskrevet scenarie, at mange af dem, der søger ud for at læse og tage arbejde – nu ser jeg nok også lidt anderledes på det end hr. Pelle Dragsted – er initiativrige mennesker, som ikke nødvendigvis er tvunget ud af landet, men som selv ser nogle muligheder i det. Og man kan sige, at hvor Enhedslisten generelt er optaget af, at flere mennesker skal have adgang til passive ydelser, så er vi i Liberal Alliance rigtig optaget af, at flere får adgang til at kunne søge og få et arbejde.",-1.0547431558962967,0.4315412186379928,Topic8,1.0242220641295823,,,,Right,,,0.0,0.0,,20142,193.2619924527169,40.42612312407991,64.63823963525252,blue,blue-20142.0
2015-07-03,20142-3-112,Pelle Dragsted_EL,Pelle Dragsted,EL,,,"Vi er meget optaget af, at færre skal være på overførselsindkomst. Og så vil jeg i øvrigt sige med hensyn til det her begreb passiv forsørgelse, at jeg ikke ved, om det er gået op for ordføreren, at når man er på kontanthjælp, skal man stå til rådighed for nyttejob 37 timer om ugen. Der findes ikke passiv forsørgelse i Danmark; der findes forsørgelse med en række modkrav – bare lige for at slå det fast. Men jeg synes ikke, ordføreren svarede på spørgsmålet. Det er da rigtigt, at der er initiativrige mennesker, men der er også masser af danske familier, som er blevet tvunget til at sende den ene ægtefælle ud af landet, fordi der ikke var job, særlig i udkantsområderne. Det kan godt være, at der, hvor ordføreren færdes, er det ikke sådan, men det er altså virkeligheden for mange. Er det rimeligt, at de mennesker skal rammes af en lavere ydelse?",0.8959293233951945,0.31488603988603997,Topic33,1.053001449908193,,,,Left,,,0.0,0.0,,20142,169.0058503856249,37.64010608389499,66.68473389115556,red,red-20142.0
2015-07-03,20142-3-114,Merete Riisager_LA,Merete Riisager,LA,,,"Jamen dengang jeg læste, kendte jeg mange mennesker, som havde deres SU og ikke ret meget andet – nogle af dem havde en lille indtægt ved siden af, nogle havde også børn – og de klarede sig udmærket for det beløb. Og det kan både udlandsdanskere og folk med flygtningebaggrund godt klare sig for, og det vil også betyde, at flere, der kommer tilbage til Danmark, hurtigere vil komme i arbejde. Og så kommer vi jo til at diskutere de her ting om incitamentet rigtig mange gange, og det ser jeg frem til. Jeg tror mere på, at det skal kunne betale sig at arbejde, end at man skal piske folk rundt i manegen, ved at de skal stå til rådighed.",-0.42022632977978375,0.3416529830322932,Topic33,1.1010108671337813,,,,Right,,,0.0,0.0,,20142,205.83950103402285,46.51977554419297,63.86609072279548,blue,blue-20142.0
